Sample,File #,DateTime,Application,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
PP-1,2543,11-19-2020 05:19,GeoChem,GeoChem Trace,180,2.8457,0.9636,3.8508,0.1778,15.9281,0.1614,0.2453,0.0259,0.1098,0.0103,0.0522,0.0043,0.3008,0.0075,16.0617,0.0306,0.1395,0.0034,0.0021,0.0015,< LOD,0.0009,0.023,0.002,1.2777,0.0089,< LOD,0.0019,0.0029,0.0009,0.0058,0.0006,0.0033,0.0005,< LOD,0.0002,< LOD,0.0004,0.002,0.0004,0.0348,0.0007,0.0017,0.0006,0.0095,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0012,< LOD,0.0012,< LOD,0.0022,< LOD,0.0092,< LOD,0.0055,< LOD,0.0156,< LOD,0.0232,< LOD,0.0084,< LOD,0.0004,< LOD,0.0008,< LOD,0.0009,< LOD,0.0004,< LOD,0.0013,< LOD,0.0002,< LOD,0.0002,< LOD,0.0014,< LOD,0.0015,< LOD,0.0019,< LOD,0.0048,Passed
PP-1,2544,11-19-2020 05:22,GeoChem,GeoChem Trace,180,4.021,0.9928,3.9422,0.1821,15.9302,0.1629,0.3013,0.0269,0.1545,0.0102,0.0286,0.0044,0.3518,0.0077,17.13,0.0316,0.1678,0.0037,0.0048,0.0016,0.0131,0.0011,0.0325,0.0024,1.6584,0.0103,< LOD,0.0021,0.0026,0.0008,0.0057,0.0006,0.0034,0.0004,0.0003,0.0002,< LOD,0.0003,0.002,0.0004,0.0351,0.0006,0.0015,0.0005,0.0093,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0014,0.0019,0.001,< LOD,0.0018,< LOD,0.0103,< LOD,0.0032,< LOD,0.0126,< LOD,0.0273,< LOD,0.0087,< LOD,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0002,0.0021,0.0012,< LOD,0.0013,< LOD,0.0017,< LOD,0.0042,Passed
PP-1,2545,11-19-2020 05:26,GeoChem,GeoChem Trace,180,3.2701,0.6759,2.0583,0.1378,9.906,0.126,0.1863,0.0211,0.1437,0.0106,0.0432,0.0027,0.0743,0.006,10.214,0.0244,0.1032,0.003,< LOD,0.0014,< LOD,0.0008,0.0187,0.0017,0.9515,0.0072,< LOD,0.0019,0.0037,0.001,0.0055,0.0006,0.0035,0.0005,0.0003,0.0002,< LOD,0.0004,0.002,0.0005,0.0319,0.0008,0.0009,0.0007,0.0087,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0013,< LOD,0.0023,< LOD,0.0089,< LOD,0.0057,< LOD,0.0182,< LOD,0.0354,,,< LOD,0.0005,< LOD,0.0009,< LOD,0.001,< LOD,0.0004,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0016,< LOD,0.0017,< LOD,0.0021,< LOD,0.0053,Passed
PP-2,2546,11-19-2020 05:31,GeoChem,GeoChem Trace,181,4.6303,1.5603,5.2333,0.1946,18.106,0.1717,0.286,0.0269,0.0946,0.0094,0.0076,0.0049,0.4146,0.0078,17.4933,0.0317,0.1849,0.0036,0.0018,0.0015,< LOD,0.001,0.0464,0.0029,2.6912,0.0132,< LOD,0.0025,0.0032,0.0007,0.0063,0.0005,0.0034,0.0003,0.0003,0.0002,< LOD,0.0002,0.0021,0.0003,0.0347,0.0005,0.0014,0.0004,0.0092,0.0004,< LOD,0.0004,< LOD,0.0004,0.0135,0.0007,< LOD,0.0016,0.0035,0.0009,< LOD,0.0017,< LOD,0.0123,< LOD,0.0043,< LOD,0.013,< LOD,0.0268,< LOD,0.008,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,0.0015,0.001,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-2,2547,11-19-2020 05:35,GeoChem,GeoChem Trace,180,5.091,1.6507,4.6802,0.1836,16.5483,0.1638,0.235,0.0253,0.0946,0.0093,0.0133,0.0042,0.358,0.0075,15.91,0.0303,0.1511,0.0033,0.0029,0.0014,0.002,0.0009,0.045,0.0028,2.3105,0.0121,< LOD,0.0025,0.0041,0.0008,0.006,0.0005,0.0032,0.0004,0.0003,0.0002,< LOD,0.0003,0.0024,0.0003,0.0382,0.0006,0.0021,0.0005,0.0111,0.0004,0.0008,0.0005,< LOD,0.0006,0.019,0.0008,,,0.0045,0.0011,< LOD,0.0019,< LOD,0.0131,< LOD,0.0048,< LOD,0.0144,< LOD,0.0303,< LOD,0.0078,< LOD,0.0004,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0003,0.0016,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0038,Passed
PP-2,2548,11-19-2020 05:39,GeoChem,GeoChem Trace,180,4.4315,1.1137,4.2534,0.1753,15.4654,0.1572,0.2097,0.0243,0.1343,0.0101,0.0334,0.0041,0.3071,0.0072,14.0132,0.0285,0.1313,0.0032,0.0041,0.0014,< LOD,0.0009,0.0407,0.0025,2.013,0.011,< LOD,0.0024,0.0038,0.0007,0.0055,0.0005,0.0031,0.0003,0.0004,0.0002,< LOD,0.0002,0.0019,0.0003,0.0292,0.0005,0.0017,0.0004,0.0086,0.0004,< LOD,0.0004,< LOD,0.0004,,,< LOD,0.0014,0.001,0.0009,< LOD,0.0016,< LOD,0.0116,< LOD,0.0042,< LOD,0.0119,< LOD,0.018,< LOD,0.008,< LOD,0.0003,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0002,< LOD,0.001,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-3,2549,11-19-2020 05:45,GeoChem,GeoChem Trace,180,3.4594,0.6523,2.0844,0.1366,9.5566,0.1241,0.1694,0.0208,0.1157,0.0102,0.0339,0.0026,0.1531,0.0064,10.3234,0.0245,0.1126,0.003,0.004,0.0014,< LOD,0.0008,0.0238,0.0018,1.2077,0.0081,< LOD,0.0021,0.0041,0.0011,0.0054,0.0006,0.0046,0.0006,0.0004,0.0002,< LOD,0.0004,0.0018,0.0005,0.0405,0.0008,0.0017,0.0007,0.0102,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0014,< LOD,0.0023,< LOD,0.0093,< LOD,0.0058,< LOD,0.0162,< LOD,0.0264,< LOD,0.0079,< LOD,0.0005,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0016,< LOD,0.0016,< LOD,0.0021,< LOD,0.0053,Passed
PP-3,2550,11-19-2020 05:49,GeoChem,GeoChem Trace,180,3.4798,0.6476,2.0782,0.1325,9.2267,0.1208,0.1461,0.0197,0.1065,0.01,0.0412,0.0025,0.125,0.0061,9.1946,0.0231,0.0865,0.0027,0.0029,0.0013,< LOD,0.0007,0.0176,0.0016,0.9154,0.0069,< LOD,0.0019,0.0045,0.001,0.0059,0.0006,0.0041,0.0005,0.0004,0.0002,< LOD,0.0004,0.0021,0.0005,0.035,0.0008,0.0011,0.0007,0.0086,0.0005,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0014,< LOD,0.0024,< LOD,0.0091,< LOD,0.006,< LOD,0.0167,< LOD,0.027,,,< LOD,0.0005,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0015,< LOD,0.0001,< LOD,0.0001,< LOD,0.0017,< LOD,0.0016,< LOD,0.0021,< LOD,0.0054,Passed
PP-3,2551,11-19-2020 05:52,GeoChem,GeoChem Trace,180,2.9309,1.1507,5.4131,0.2217,22.2808,0.1966,0.292,0.0313,0.0897,0.0097,0.0401,0.0067,0.7886,0.0097,22.6333,0.0366,0.2301,0.0043,0.0026,0.0018,< LOD,0.0012,0.0538,0.0031,2.908,0.0144,< LOD,0.0023,0.0042,0.0008,0.0085,0.0007,0.0047,0.0004,< LOD,0.0002,< LOD,0.0003,0.0025,0.0003,0.0445,0.0006,0.002,0.0005,0.0102,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.0009,< LOD,0.0017,< LOD,0.0093,< LOD,0.0044,< LOD,0.0133,< LOD,0.0267,< LOD,0.009,< LOD,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0004,0.002,0.0011,< LOD,0.0012,< LOD,0.0015,< LOD,0.0038,Passed
PP-4,2552,11-19-2020 05:57,GeoChem,GeoChem Trace,180,4.7816,1.3627,6.8045,0.225,26.6603,0.2108,0.3032,0.0302,0.0911,0.0088,0.0334,0.0074,0.7553,0.0093,21.3555,0.0353,0.2133,0.004,0.004,0.0016,0.0023,0.0011,0.0507,0.003,2.8625,0.0141,< LOD,0.0021,0.0038,0.0007,0.0075,0.0006,0.0042,0.0004,0.0004,0.0002,< LOD,0.0003,0.0022,0.0003,0.0393,0.0006,0.0019,0.0005,0.0098,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0016,0.0012,0.0009,< LOD,0.0017,< LOD,0.0094,< LOD,0.0043,< LOD,0.0163,< LOD,0.0183,,,< LOD,0.0004,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0004,< LOD,0.001,< LOD,0.0011,< LOD,0.0014,< LOD,0.0036,Passed
PP-4,2553,11-19-2020 06:01,GeoChem,GeoChem Trace,180,3.2263,0.9723,4.0761,0.1854,17.5412,0.1697,0.2033,0.0263,0.1081,0.01,0.0388,0.0047,0.4405,0.0081,17.0731,0.0316,0.1663,0.0036,< LOD,0.0016,< LOD,0.001,0.0367,0.0025,1.9997,0.0113,< LOD,0.0022,0.0029,0.0007,0.0055,0.0005,0.0033,0.0004,< LOD,0.0002,< LOD,0.0003,0.0022,0.0003,0.0357,0.0006,0.0013,0.0005,0.0084,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,0.0012,0.0009,< LOD,0.0023,< LOD,0.0106,< LOD,0.0042,0.0245,0.012,< LOD,0.0255,< LOD,0.0084,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0002,0.0017,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0037,Passed
PP-4,2554,11-19-2020 06:07,GeoChem,GeoChem Trace,180,1.4894,1.034,1.0108,0.1601,6.1584,0.1158,< LOD,0.0255,< LOD,0.0131,0.0515,0.0026,< LOD,0.0075,12.3879,0.0276,0.1636,0.0049,< LOD,0.0026,< LOD,0.0015,0.0408,0.0025,2.0622,0.0109,< LOD,0.003,0.003,0.0006,0.0038,0.0004,0.0038,0.0003,< LOD,0.0001,< LOD,0.0003,0.0019,0.0003,0.0328,0.0005,0.0017,0.0005,0.008,0.0003,< LOD,0.0005,< LOD,0.0005,< LOD,0.0007,< LOD,0.0013,< LOD,0.0008,< LOD,0.0014,< LOD,0.0138,< LOD,0.0024,< LOD,0.0087,< LOD,0.0205,,,< LOD,0.0003,< LOD,0.0003,< LOD,0.0007,< LOD,0.0006,< LOD,0.001,< LOD,0.0003,< LOD,0.0002,< LOD,0.001,< LOD,0.0011,< LOD,0.0013,< LOD,0.0033,Passed
PP-5,2555,11-19-2020 06:12,GeoChem,GeoChem Trace,180,3.642,1.3998,3.3432,0.1673,13.8763,0.1505,0.2166,0.0243,0.1107,0.0098,0.0173,0.0036,0.2682,0.0072,14.8503,0.0293,0.1254,0.0031,0.0028,0.0014,< LOD,0.0009,0.0403,0.0026,2.0494,0.0112,< LOD,0.0025,0.0025,0.0006,0.0047,0.0004,0.0035,0.0003,< LOD,0.0001,< LOD,0.0002,0.0022,0.0003,0.044,0.0006,0.0017,0.0004,0.0106,0.0004,< LOD,0.0004,< LOD,0.0004,0.0131,0.0008,< LOD,0.0016,0.0031,0.0009,< LOD,0.0017,< LOD,0.0139,< LOD,0.003,< LOD,0.0118,< LOD,0.0182,< LOD,0.0077,< LOD,0.0003,< LOD,0.0003,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0002,0.002,0.0009,< LOD,0.001,< LOD,0.0013,< LOD,0.0035,Passed
PP-5,2556,11-19-2020 06:16,GeoChem,GeoChem Trace,180,5.1695,1.7655,4.4964,0.1896,19.0028,0.1759,0.2583,0.0265,0.1109,0.0095,0.0134,0.0047,0.4795,0.008,16.6433,0.0311,0.1756,0.0036,0.0035,0.0015,< LOD,0.001,0.051,0.0029,2.5761,0.0129,< LOD,0.0025,0.0034,0.0007,0.0057,0.0005,0.004,0.0004,< LOD,0.0002,< LOD,0.0002,0.0025,0.0003,0.0411,0.0006,0.002,0.0005,0.0109,0.0004,< LOD,0.0004,< LOD,0.0005,0.0202,0.0008,,,0.0043,0.001,< LOD,0.0017,< LOD,0.0132,< LOD,0.0031,< LOD,0.0129,< LOD,0.0187,< LOD,0.008,< LOD,0.0003,< LOD,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,0.0021,0.001,< LOD,0.001,< LOD,0.0014,< LOD,0.0036,Passed
PP-5,2557,11-19-2020 06:19,GeoChem,GeoChem Trace,180,4.5408,1.5198,4.8147,0.1885,19.461,0.1762,0.2588,0.0258,0.098,0.0096,0.021,0.005,0.5122,0.008,15.5486,0.03,0.1653,0.0035,0.0039,0.0015,< LOD,0.001,0.0496,0.0029,2.6797,0.013,< LOD,0.0025,0.0038,0.0007,0.0056,0.0005,0.0036,0.0003,0.0002,0.0002,< LOD,0.0002,0.0023,0.0003,0.0375,0.0005,0.0017,0.0004,0.0097,0.0003,< LOD,0.0005,< LOD,0.0004,0.0138,0.0008,< LOD,0.0017,0.0029,0.0009,< LOD,0.0017,< LOD,0.0126,< LOD,0.0031,< LOD,0.0128,< LOD,0.0183,< LOD,0.0079,< LOD,0.0003,< LOD,0.0005,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,0.0019,0.0009,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-6,2558,11-19-2020 06:31,GeoChem,GeoChem Trace,180,3.7434,1.2914,5.6237,0.1843,20.7803,0.1767,0.1611,0.0222,0.0666,0.0094,0.0123,0.0044,0.5892,0.0079,10.7837,0.025,0.1913,0.0034,0.0044,0.0014,< LOD,0.0009,0.0595,0.0028,2.4326,0.0117,< LOD,0.0024,0.0041,0.0008,0.0048,0.0005,0.0035,0.0004,0.0005,0.0002,< LOD,0.0003,0.0032,0.0003,0.0236,0.0005,0.0027,0.0005,0.0109,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0015,0.0017,0.001,< LOD,0.0019,< LOD,0.011,< LOD,0.0047,< LOD,0.0138,< LOD,0.0194,,,< LOD,0.0004,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0002,< LOD,0.0002,< LOD,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0039,Passed
PP-6,2559,11-19-2020 06:35,GeoChem,GeoChem Trace,180,4.2862,1.1082,6.1242,0.2004,23.8909,0.1931,0.2213,0.0255,0.1134,0.0097,0.0313,0.0058,0.6279,0.0084,14.756,0.0293,0.2053,0.0037,0.0034,0.0015,< LOD,0.001,0.0404,0.0027,2.5752,0.0126,< LOD,0.0022,0.0025,0.0006,0.0068,0.0005,0.0024,0.0003,0.0003,0.0002,< LOD,0.0002,0.0023,0.0003,0.0192,0.0004,0.0017,0.0004,0.0072,0.0003,< LOD,0.0004,< LOD,0.0004,,,< LOD,0.0017,0.0012,0.0009,< LOD,0.0015,< LOD,0.0107,< LOD,0.0028,< LOD,0.0115,< LOD,0.0233,,,< LOD,0.0003,< LOD,0.0005,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,< LOD,0.0009,< LOD,0.001,< LOD,0.0013,< LOD,0.0034,Passed
PP-6,2560,11-19-2020 06:38,GeoChem,GeoChem Trace,180,3.0547,1.4901,5.9578,0.2006,22.1043,0.1864,0.1928,0.0255,0.0868,0.0095,0.0162,0.0048,0.6265,0.0084,15.2399,0.0297,0.2131,0.0037,0.0035,0.0015,< LOD,0.001,0.0566,0.0029,2.6577,0.0129,< LOD,0.0023,0.0038,0.0007,0.0057,0.0005,0.0033,0.0004,0.0006,0.0002,< LOD,0.0002,0.0031,0.0003,0.0291,0.0005,0.0022,0.0005,0.0103,0.0004,0.0007,0.0004,< LOD,0.0005,0.0112,0.0007,< LOD,0.0017,0.004,0.001,< LOD,0.0017,< LOD,0.0114,< LOD,0.0044,< LOD,0.0135,< LOD,0.019,< LOD,0.0076,< LOD,0.0004,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,< LOD,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0037,Passed
